local_identifier,individual_id,sex,taxon_canonical_name,country,study_id,name_lc,is_human_name,creativity_score,pos_score,neg_score,total_births
Spikey,2928169,f,Chelonoidis,NA,2928116,spikey,FALSE,0.05555555555555558,0.38888888888888895,0.38888888888888895,0
Spotty,13475386,,Chelonoidis porteri,NA,2928116,spotty,FALSE,0.11111111111111105,0.5,0.4111111111111112,0
Steve Blake,1404076171,m,Chelonoidis porteri,NA,2928116,steve blake,FALSE,0.18181818181818188,0.4727272727272728,0.4727272727272728,0
Steve Devine,2928170,m,Chelonoidis porteri,NA,2928116,steve devine,FALSE,0.16666666666666674,0.47777777777777786,0.47777777777777786,0
Susan,13475536,f,Chelonoidis porteri,NA,2928116,susan,TRUE,0,0.3111111111111112,0.4222222222222223,1123983
Tanya,13475547,f,Chelonoidis porteri,NA,2928116,tanya,TRUE,0,0.48888888888888893,0.3666666666666667,116806
Tessa,1657680070,,Chelonoidis donfaustoi,NA,2928116,tessa,TRUE,0,0.5333333333333334,0.4222222222222223,47073
Thane,18643833,f,Chelonoidis hoodensis,NA,2928116,thane,TRUE,0,0.3666666666666667,0.3666666666666667,2274
Tomas,2867736534,,,NA,2928116,tomas,TRUE,0,0.48888888888888893,0.4,27804
Toots,13475399,f,Chelonoidis porteri,NA,2928116,toots,TRUE,0,0.48888888888888893,0.37777777777777777,5
Valencia,542441199,f,Chelonoidis porteri,NA,2928116,valencia,TRUE,0,0.4027777777777779,0.41666666666666674,10911
Veronica,13455834,f,Chelonoidis porteri,NA,2928116,veronica,TRUE,0,0.45000000000000007,0.5583333333333333,218195
Virginia,1176126552,f,Chelonoidis hoodensis,NA,2928116,virginia,TRUE,0,0.513888888888889,0.41666666666666674,650395
Wacho,2928171,m,Chelonoidis porteri,NA,2928116,wacho,FALSE,0.06666666666666676,0.4,0.4,0
Walter,13455545,m,Chelonoidis hoodensis,NA,2928116,walter,TRUE,0,0.38888888888888895,0.38888888888888895,624400
Wilman,2928172,m,Chelonoidis donfaustoi,NA,2928116,wilman,TRUE,0,0.5277777777777779,0.38888888888888895,207
Winston,4115714497,,,NA,2928116,winston,TRUE,0,0.5079365079365079,0.4047619047619049,26554
Wolfgang,2928173,m,Chelonoidis hoodensis,NA,2928116,wolfgang,TRUE,0,0.513888888888889,0.5416666666666667,2157
Yvonne,13455295,f,Chelonoidis porteri,NA,2928116,yvonne,TRUE,0,0.36111111111111116,0.5277777777777779,155942
Zelfa,2928174,f,Chelonoidis hoodensis,NA,2928116,zelfa,FALSE,0.06666666666666676,0.5333333333333334,0.5333333333333334,0
